date,year,month,commodity,source_commodity,monthly_average_price,admin1,admin2,market,pricetype,currency,unit
2024-10-15,2024,10,Banana (Lakatan),Bananas (lakatan),103.83,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-11-15,2024,11,Banana (Lakatan),Bananas (lakatan),104.97,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-12-15,2024,12,Banana (Lakatan),Bananas (lakatan),105.07,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-01-15,2025,1,Banana (Lakatan),Bananas (lakatan),105.49,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-02-15,2025,2,Banana (Lakatan),Bananas (lakatan),105.7,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-03-15,2025,3,Banana (Lakatan),Bananas (lakatan),105.35,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-04-15,2025,4,Banana (Lakatan),Bananas (lakatan),104.06,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-05-15,2025,5,Banana (Lakatan),Bananas (lakatan),105.27,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-06-15,2025,6,Banana (Lakatan),Bananas (lakatan),105.08,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-07-15,2025,7,Banana (Lakatan),Bananas (lakatan),103.03,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-08-15,2025,8,Banana (Lakatan),Bananas (lakatan),99.85,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-09-15,2025,9,Banana (Lakatan),Bananas (lakatan),98.17,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-10-15,2025,10,Banana (Lakatan),Bananas (lakatan),98.53,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-11-15,2025,11,Banana (Lakatan),Bananas (lakatan),98.11,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2025-12-15,2025,12,Banana (Lakatan),Bananas (lakatan),98.28,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-01-15,2026,1,Banana (Lakatan),Bananas (lakatan),100.44,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-02-15,2026,2,Banana (Lakatan),Bananas (lakatan),100.15,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-03-15,2026,3,Banana (Lakatan),Bananas (lakatan),101.82,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-04-15,2026,4,Banana (Lakatan),Bananas (lakatan),100.46,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-05-15,2026,5,Banana (Lakatan),Bananas (lakatan),98.6,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2026-06-15,2026,6,Banana (Lakatan),Bananas (lakatan),99.09,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-01-15,2008,1,Cabbage,Cabbage,34.17,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
