series_key,category,commodity,specification,unit,numeric_observations,first_numeric_week,latest_numeric_week,latest_numeric_price,latest_pdf_price,latest_pdf_availability,forecast_eligible_16_plus
HIGHLAND VEGETABLES | Cabbage (Wonder Ball) | 510 gm - 1 kg/head | kg,HIGHLAND VEGETABLES,Cabbage (Wonder Ball),510 gm - 1 kg/head,kg,114,2024-01-08,2026-08-31,144.59,144.59,available,yes
"HIGHLAND VEGETABLES | Carrots, Local | 8-10 pcs/kg | kg",HIGHLAND VEGETABLES,"Carrots, Local",8-10 pcs/kg,kg,116,2024-01-01,2026-08-31,117.41,117.41,available,yes
"HIGHLAND VEGETABLES | Cauliflower, Local | Medium (8-10 cm diameter/bunch hd) | kg",HIGHLAND VEGETABLES,"Cauliflower, Local",Medium (8-10 cm diameter/bunch hd),kg,77,2024-11-18,2026-08-31,291.47,291.47,available,yes
HIGHLAND VEGETABLES | Celery | Medium (501-800 g) | kg,HIGHLAND VEGETABLES,Celery,Medium (501-800 g),kg,76,2024-11-18,2026-08-31,272.29,272.29,available,yes
HIGHLAND VEGETABLES | Chayote | Medium (301-400 g) | kg,HIGHLAND VEGETABLES,Chayote,Medium (301-400 g),kg,116,2024-01-01,2026-08-31,101.91,101.91,available,yes
"HIGHLAND VEGETABLES | Habichuelas/Baguio Beans, Local | (no specification) | kg",HIGHLAND VEGETABLES,"Habichuelas/Baguio Beans, Local",,kg,116,2024-01-01,2026-08-31,185.1,185.1,available,yes
HIGHLAND VEGETABLES | Lettuce (Green Ice) | (no specification) | kg,HIGHLAND VEGETABLES,Lettuce (Green Ice),,kg,77,2024-11-18,2026-08-31,567.41,567.41,available,yes
HIGHLAND VEGETABLES | Lettuce (Iceberg) | Medium (301-450 cm diameter/bunch hd) | kg,HIGHLAND VEGETABLES,Lettuce (Iceberg),Medium (301-450 cm diameter/bunch hd),kg,77,2024-11-18,2026-08-31,514.63,514.63,available,yes
HIGHLAND VEGETABLES | Lettuce (Romaine) | (no specification) | kg,HIGHLAND VEGETABLES,Lettuce (Romaine),,kg,77,2024-11-18,2026-08-31,557.41,557.41,available,yes
HIGHLAND VEGETABLES | Pechay Baguio | (no specification) | kg,HIGHLAND VEGETABLES,Pechay Baguio,,kg,116,2024-01-01,2026-08-31,167.69,167.69,available,yes
"HIGHLAND VEGETABLES | White Potato, Local | 10-12 pcs/kg | kg",HIGHLAND VEGETABLES,"White Potato, Local",10-12 pcs/kg,kg,116,2024-01-01,2026-08-31,156.27,156.27,available,yes
"SPICES | Chilli (Red), Local | Tingala | kg",SPICES,"Chilli (Red), Local",Tingala,kg,103,2024-04-29,2026-08-31,202.89,202.89,available,yes
"SPICES | Garlic, Imported | (no specification) | kg",SPICES,"Garlic, Imported",,kg,120,2024-01-01,2026-08-31,150.77,150.77,available,yes
"SPICES | Garlic, Native/Local | (no specification) | kg",SPICES,"Garlic, Native/Local",,kg,120,2024-01-01,2026-08-31,351,351,available,yes
"SPICES | Ginger, Local | Fairly well-matured, Medium (150-300 gm) | kg",SPICES,"Ginger, Local","Fairly well-matured, Medium (150-300 gm)",kg,120,2024-01-01,2026-08-31,187.6,187.6,available,yes
"SPICES | Red Onion, Imported | (no specification) | kg",SPICES,"Red Onion, Imported",,kg,56,2024-01-01,2026-08-24,90,,not sold / no price (-),yes
"SPICES | Red Onion, Local | 13-15 pcs/kg | kg",SPICES,"Red Onion, Local",13-15 pcs/kg,kg,120,2024-01-01,2026-08-31,115.58,115.58,available,yes
"SPICES | White Onion, Imported | (no specification) | kg",SPICES,"White Onion, Imported",,kg,99,2024-01-01,2026-08-17,130,,not sold / no price (-),yes
"SPICES | White Onion, Local | (no specification) | kg",SPICES,"White Onion, Local",,kg,106,2024-01-01,2026-08-31,132.69,132.69,available,yes
FRUITS | Avocado | (no specification) | kg,FRUITS,Avocado,,kg,81,2024-11-18,2026-08-31,217.64,217.64,available,yes
FRUITS | Banana (Lakatan) | 8-10 pcs/kg | kg,FRUITS,Banana (Lakatan),8-10 pcs/kg,kg,120,2024-01-01,2026-08-31,96.49,96.49,available,yes
FRUITS | Banana (Latundan) | 10-12 pcs/kg | kg,FRUITS,Banana (Latundan),10-12 pcs/kg,kg,120,2024-01-01,2026-08-31,77.18,77.18,available,yes
FRUITS | Banana (Saba) | (no specification) | kg,FRUITS,Banana (Saba),,kg,81,2024-11-18,2026-08-31,64.19,64.19,available,yes
FRUITS | Calamansi | (no specification) | kg,FRUITS,Calamansi,,kg,120,2024-01-01,2026-08-31,110.61,110.61,available,yes
"FRUITS | Mango (Carabao) | Ripe, 3-4 pcs/kg | kg",FRUITS,Mango (Carabao),"Ripe, 3-4 pcs/kg",kg,119,2024-01-01,2026-08-31,225.29,225.29,available,yes
FRUITS | Melon | (no specification) | kg,FRUITS,Melon,,kg,81,2024-11-18,2026-08-31,102.98,102.98,available,yes
"FRUITS | Papaya | Solo, Ripe, 2-3 pcs/kg | kg",FRUITS,Papaya,"Solo, Ripe, 2-3 pcs/kg",kg,119,2024-01-01,2026-08-31,78.49,78.49,available,yes
FRUITS | Pomelo | (no specification) | kg,FRUITS,Pomelo,,kg,81,2024-11-18,2026-08-31,175.98,175.98,available,yes
FRUITS | Watermelon | (no specification) | kg,FRUITS,Watermelon,,kg,81,2024-11-18,2026-08-31,77.95,77.95,available,yes
OTHER BASIC COMMODITIES | Cooking Oil (Coconut) | 1 Liter/bottle | L,OTHER BASIC COMMODITIES,Cooking Oil (Coconut),1 Liter/bottle,L,120,2024-01-01,2026-08-31,155.07,155.07,available,yes
OTHER BASIC COMMODITIES | Cooking Oil (Coconut) | 350 ml/bottle | ml,OTHER BASIC COMMODITIES,Cooking Oil (Coconut),350 ml/bottle,ml,120,2024-01-01,2026-08-31,59.91,59.91,available,yes
OTHER BASIC COMMODITIES | Cooking Oil (Palm) | 1 Liter/bottle | L,OTHER BASIC COMMODITIES,Cooking Oil (Palm),1 Liter/bottle,L,120,2024-01-01,2026-08-31,100.06,100.06,available,yes
OTHER BASIC COMMODITIES | Cooking Oil (Palm) | 350 ml/bottle | ml,OTHER BASIC COMMODITIES,Cooking Oil (Palm),350 ml/bottle,ml,120,2024-01-01,2026-08-31,39.99,39.99,available,yes
OTHER BASIC COMMODITIES | Salt (Iodized) | (no specification) | kg,OTHER BASIC COMMODITIES,Salt (Iodized),,kg,30,2026-01-05,2026-08-31,42.31,42.31,available,yes
OTHER BASIC COMMODITIES | Salt (Rock) | (no specification) | kg,OTHER BASIC COMMODITIES,Salt (Rock),,kg,30,2026-01-05,2026-08-31,21.91,21.91,available,yes
OTHER BASIC COMMODITIES | Sugar (Brown) | (no specification) | kg,OTHER BASIC COMMODITIES,Sugar (Brown),,kg,120,2024-01-01,2026-08-31,72.22,72.22,available,yes
OTHER BASIC COMMODITIES | Sugar (Refined) | (no specification) | kg,OTHER BASIC COMMODITIES,Sugar (Refined),,kg,120,2024-01-01,2026-08-31,81.46,81.46,available,yes
OTHER BASIC COMMODITIES | Sugar (Washed) | (no specification) | kg,OTHER BASIC COMMODITIES,Sugar (Washed),,kg,120,2024-01-01,2026-08-31,74.48,74.48,available,yes
